movie_sid,movie_name,movie_score,movie_time,movie_style,movie_director
26928226,知否知否应是绿肥红瘦,7.7,2018-12-25(中国大陆),剧情 爱情 古装,赵丽颖 冯绍峰 朱一龙 施诗 张佳宁 刘钧 刘琳 高露 王仁君 王一楠 李依晓 陈瑾 王鹤润 张晓谦 李洪涛 曹翠芬 杨新鸣 谭希和 冯晖 秦焰 徐悦 王永泉 李若宁 韩烨 高子沣 康群智 马丁 刘岳 王梓薇 武笑羽 邓莎 陈雅斓 张含韵 刘楚恬 何昕芮 林夕 叶轩彤 赵秦 贾媛媛 陈梦希 王艳梅 刘希媛 张棪琰 涓子 傅淼 宁文彤 王子桀 陶奕希 黄宥明 陆妍淇 王艺诺 赵千紫 崔奕 吴弘 王彦懿 赵淑珍 李朵 朱鹏程 刘丕中 安维 毛凡 延翔 吴雨珏 刘哲珲 红花 蒋伟男 李尉尔 葛昊 董照 杨青 徐玉兰 边天扬 杨雨婷 柏安 王靖云 夏一瑶 谢承颖 何苗 宁晓志 刘梦珂 佘南南 杨阳 穆丽燕 刘姝辰 田淼 屠楠 范哲琛 霍亚明 曹玥瑶 袁媛 任婉婧 马岩 刘晴 米特 红木 薛媛媛 颜景瑶 张露 成国栋 沈驰 朱怀旭 杨晓丹 银艺 胡晴云 杜伶俐 王钢 高海鹏 王子铭 史艳 李彦 于京田 陆进 魏劲松 赵琦 孙征宇 王熠 叶子诚 宣晓鸣 杨智迪 刘婉婷 李媛媛 夏铭浩 焦祺越 冯瀑 刘衍辰 达来哈里呼 季思宇 张恒羽 郝爽 刘勉子 邓涵予 李保安 金依滢 石靖怡 周艺华 王瑜 康嘉烨 张欣源 胡原君 冯军
30156227,奔跑吧 第二季,5.6,2018-04-13(中国大陆),真人秀,邓超 李晨 陈赫 郑恺 王祖蓝 鹿晗 杨颖 小罗伯特·唐尼 汤姆·希德勒斯顿 马克·鲁弗洛 吴秀波 杨幂 汤姆·赫兰德 王珞丹 钟楚曦 王大陆 邓家佳 娄艺潇 韩雪 沙溢 欧阳娜娜 张杰 李金铭 孙艺洲 宋祖儿 蓝盈莹 蒋方舟 张韶涵 李佳航 张云龙 张靓颖 魏大勋 杜江 宋小宝 昆凌 任家萱 韦正 朱正廷 汪远 陈立农 林彦俊 潘晓婷 黄明昊 尤长靖 王琳凯 范丞丞 王子异 惠若琪 何猷君 路易斯·菲戈 李毅 苏炳添 张国伟 武大靖 范志毅
27069428,有翡,5.6,2020-12-16(中国大陆),剧情 武侠 古装,赵丽颖 王一博 张慧雯 陈若轩 周洁琼 孙坚 张昕宇 冷纪元 车晓 耿乐 董璇 胡兵 王婉娟 郭鑫 成国栋 王新乔 周俞辰 范哲琛 季承 马晨焱 李朵 陈翊曈 王星瀚
35268503,极限挑战 第七季,5.2,2021-04-04(中国大陆),真人秀,雷佳音 岳云鹏 王迅 贾乃亮 郭京飞 邓伦 黄明昊 龚俊 李现 杨超越 景甜 邓紫棋
34841067,你好，李焕英,7.7,2021-02-12(中国大陆),剧情 喜剧 奇幻,贾玲 张小斐 沈腾 陈赫 刘佳 丁嘉丽 王琳 杜源 何翯 何欢 韩云云 包文婧 葛珊珊 史策 黄小猫 许君聪 卜钰 刘宏禄 魏翔 孙集斌 张泰维 郭宇鹏 朱天福 王宇 冯巩 乔杉 王小利 宋晓峰 董若溪 曹贺军 赵婷婷 姬晴 郭祥鹏 李一峰 潘斌龙 贾文田 刘頔 王丽涵 马兰 李宗恒 吴明杭
6984046,武媚娘传奇,5.2,2014-12-21(中国大陆),传记 历史 古装,范冰冰 张丰毅 李治廷 周海媚 张馨予 张彤 张定涵 李解 王绘春 张庭 张钧甯 陈思斯 李李仁 李晨 俞灏明 康福震 王文杰 任山 涂黎曼 施诗 沈保平 孙佳奇 赵雍 马思纯 张杰 王真儿 余皑磊 边江 姜广涛 黄海冰 杨天翔 米露 李子峰 宝木中阳 顾语涵 刘校妤 乔诗语 李东恒 郑希 松岛庄汰 王泊文 须乾 朱晓辉 王亚楠 陈柯帆 王丽媛 李翠翠 崔冰 金雁 孙宁 刘子赫 陈喆伦 刘洋 高瑞 凌子幂 李亚天 高远 刘誉坤 何欣 徐杨 赵异卓 张勇民 秦启东
34811370,我就是演员之巅峰对决,4.5,2019-10-26(中国大陆),真人秀,李立群 伊一 李冰冰 张国立 马思纯 佟大为 秦昊 郭涛 梁静 李宇春 宁静 郭晓东 惠英红 刘晓庆 关晓彤 杨坤 牛莉 王琳 孟美岐 文淇 曾舜晞 周奇 范湉湉 王子异 刘家祎 杨迪 张大大 董又霖 李庚希 章若楠 侯明昊 费启鸣 田羽生 许鞍华 陆川 李少红 高希希 贾东岩 刘天池 姜思达 史航 孔连顺 李倩 王媛可 郭晓峰 尹力 王小枪 赵亮 张粟 康洪雷 李诚儒 李亚玲 黄梦莹 傅首尔 刘杰 夏楠 吴其江 王建新 忻钰坤 张纪中 曹艳艳 程青松 关锦鹏 海一天 谭凯 刘欢 杨树鹏 方青卓 刘东浒 程莉莎 辛爽 朱辉 刘震云 顾小白 侯咏 杨常青 沈保平 田昊 张海燕 薛佳凝 温峥嵘 李建义 臧洪娜 李光复 邵兵 倪萍 杜旭东 茹萍 张磊 李勤勤 孙艺洲 买红妹 秦俊杰 冯瓅 白红标 刘威葳 唐国强 党浩予 滕爱弦 张峻鸣 赵燕国彰 娄乃鸣 张铁林 高露 傅晶 陈雨锶 来喜 綦小卉 胡明 姚安濂 郭振迦 由立平 伊能静 娄艺潇 刘亚津 傅铂涵 马捷 赵煊 蒲巴甲 于洋 阿如那 姜妍 武利平 孙耀琦
35332289,开端,7.8,2022-01-11(中国大陆),剧情,白敬亭 赵今麦 刘奕君 刘涛 黄觉 刘丹 宋家腾 曾柯琅 张喜前 马兰 焦鹏 卜宇鑫 李感 范帅琦 鞠帛展 余沛杉 张龄心 白宇帆 尤靖茹 陈牧扬 任帅 吴其江 高海鹏 李克伟 赵千紫 马波 刘冠霖 魏伟 李斌 王宏 钱漪 陈卫 吴珏瑾 陈小妹 沐桐 乔牧 王汀 许薇 亦明 李金江 张浩 陈镜依 王沛禄 张靖岚 刘祉驿 于京田 丁文博 龙斌 陆星 王志鹏 柳欣言 孙惟嵩 程小刚 尹腾喆 霍雨佳 林子琛 程世宇 王思钦 郭增友 杨子平 熊巍 杨毅春 彭亚辉 阮样华
25853659,黑暗之光,4.2,2014-04-28(中国大陆),爱情 悬疑 奇幻,王李丹妮 陈静仪 潘春春 韩雪薇 赵婧伊 于芷晴 徐欢 李红陶
34456019,人鱼缚,3.7,2020-10-03(中国大陆网络),剧情 惊悚 古装,张予曦 朱梓骁 肖向飞 吴茉彤 温海波 张欣源 宋恺 闵春晓
